City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Port Elizabeth,-33.918,25.5701,64.69,95,0,10.36,ZA,1650419135
81,Albany,42.6001,-73.9662,39.92,70,70,1.01,US,1650418996
82,Pedernales,18.0384,-71.744,79.2,73,12,3.49,DO,1650419136
83,Humberto de Campos,-2.5983,-43.4611,75.83,92,100,3.56,BR,1650419136
84,São Filipe,14.8961,-24.4956,70.56,83,90,3.98,CV,1650419136
85,Eyl,7.9803,49.8164,79.59,73,76,7.56,SO,1650419137
86,Cidreira,-30.1811,-50.2056,66.76,83,0,8.75,BR,1650419137
87,San Patricio,28.017,-97.5169,75.88,82,100,16.62,US,1650419138
88,Saint-Prosper,46.2117,-70.4811,34.09,87,99,13.18,CA,1650419138
89,Laguna,38.421,-121.4238,67.6,44,0,10.36,US,1650419138
90,Pisco,-13.7,-76.2167,65.01,88,0,18.41,PE,1650419139
91,Pangnirtung,66.1451,-65.7125,2.26,78,100,7.11,CA,1650419139
92,Ambulu,-8.345,113.6058,77.99,88,100,1.83,ID,1650419139
93,Thompson,55.7435,-97.8558,30.36,64,75,6.91,CA,1650419139
94,Kologriv,58.8275,44.3178,34.9,95,91,5.93,RU,1650419140
95,Geraldton,-28.7667,114.6,75.61,33,92,11.5,AU,1650419140
96,Souillac,-20.5167,57.5167,77.38,100,75,6.91,MU,1650419140
97,Khilok,51.3674,110.4676,34.34,39,14,13.11,RU,1650419141
98,Hokitika,-42.7167,170.9667,62.65,95,100,8.43,NZ,1650419141
99,Solnechnyy,50.7214,136.6319,52.36,70,100,11.27,RU,1650419141
100,Altamont,42.2068,-121.7372,43.9,60,0,19.57,US,1650419142
101,Danielskuil,-28.1887,23.5395,54.34,65,5,6.33,ZA,1650419142
102,Nikolskoye,59.7035,30.7861,39.7,93,91,5.26,RU,1650419143
103,Paján,-1.5667,-80.4167,74.23,94,87,3.22,EC,1650419143
104,Mount Isa,-20.7333,139.5,85.77,21,76,11.5,AU,1650419143
105,Filiatrá,37.15,21.5833,51.69,70,30,2.24,GR,1650419144
106,Mataura,-46.1927,168.8643,63.48,56,100,3.62,NZ,1650419144
107,Port Alfred,-33.5906,26.891,65.17,91,59,1.01,ZA,1650419144
108,Tasiilaq,65.6145,-37.6368,32.16,91,100,10.65,GL,1650419144
109,Tondano,1.3038,124.9112,78.89,59,92,1.99,ID,1650419145
110,Paita,-5.0892,-81.1144,69.31,77,97,13.04,PE,1650419145
111,Dunedin,-45.8742,170.5036,57.79,76,100,5.01,NZ,1650419145
112,Butaritari,3.0707,172.7902,81.84,73,77,14.81,KI,1650419146
113,Härnösand,62.6323,17.9379,30.22,75,20,1.41,SE,1650419146
114,Bethel,41.3712,-73.414,44.91,63,20,9.22,US,1650419146
115,Lakes Entrance,-37.8811,147.981,68.16,55,0,12.46,AU,1650419147
116,Guánica,17.9716,-66.908,79.11,88,99,12.55,PR,1650419147
117,Khandyga,62.6667,135.6,32.29,82,100,7.11,RU,1650419147
118,Taksimo,56.3444,114.8794,27.86,48,96,3.53,RU,1650418877
119,Gazli,40.1333,63.45,58.64,73,73,8.68,UZ,1650419148
120,Esperance,-33.8667,121.9,60.64,59,91,5.95,AU,1650419148
121,Nur-Sultan,51.1801,71.446,46.35,71,40,8.95,KZ,1650418871
122,Kutum,14.2,24.6667,76.05,14,100,11.68,SD,1650419149
123,Mana,5.6592,-53.7767,77.45,88,100,8.01,GF,1650419149
124,Iqaluit,63.7506,-68.5145,8.33,66,75,9.22,CA,1650419149
125,Ayan,56.45,138.1667,31.66,91,100,11.95,RU,1650419117
126,Flinders,-34.5833,150.8552,75.38,58,0,7.0,AU,1650419150
127,Kloulklubed,7.0419,134.2556,81.1,78,77,13.42,PW,1650419150
128,Lebu,-37.6167,-73.65,53.98,91,85,7.27,CL,1650419151
129,Fortuna,40.5982,-124.1573,56.32,54,75,9.22,US,1650418905
130,Maxixe,-23.8597,35.3472,71.26,93,93,9.51,MZ,1650419151
131,Bonavista,48.6499,-53.1147,29.77,76,100,19.17,CA,1650419151
132,Ilulissat,69.2167,-51.1,-0.38,65,75,5.75,GL,1650419152
133,Young,-32.6833,-57.6333,62.08,81,99,4.81,UY,1650419152
134,Jalu,29.0331,21.5482,56.3,63,0,7.31,LY,1650419152
135,Chui,-33.6971,-53.4616,61.92,93,57,6.78,UY,1650419153
136,Buenavista,8.9769,125.4089,86.18,66,88,4.41,PH,1650419153
137,Macao,22.2006,113.5461,67.86,83,40,9.22,MO,1650419154
138,Luang Prabang,19.8856,102.1347,71.56,100,100,0.0,LA,1650419154
139,Saint-Pierre,-21.3393,55.4781,76.68,81,0,4.61,RE,1650419154
140,Arroyo de la Encomienda,41.6096,-4.7969,41.14,83,0,10.36,ES,1650419155
141,Mahébourg,-20.4081,57.7,78.26,100,75,6.91,MU,1650419155
142,Bilma,18.6853,12.9164,75.51,14,7,6.93,NE,1650419155
143,Saint-Michel-des-Saints,46.6834,-73.9159,33.94,98,100,9.35,CA,1650419156
144,Arraial do Cabo,-22.9661,-42.0278,64.36,94,20,0.0,BR,1650419156
145,Imeni Morozova,59.9757,31.0376,39.85,95,76,5.37,RU,1650419156
146,Ulladulla,-35.35,150.4667,70.7,61,4,5.97,AU,1650419157
147,Zeya,53.75,127.2667,43.12,56,100,4.23,RU,1650419157
148,Hambantota,6.1241,81.1185,79.14,100,20,2.3,LK,1650419157
149,Ribeira Grande,38.5167,-28.7,60.19,67,48,8.68,PT,1650419158
150,Cherskiy,68.75,161.3,31.28,81,23,11.63,RU,1650418927
151,Cabo San Lucas,22.8909,-109.9124,77.61,68,0,11.68,MX,1650419158
152,Yuancheng,36.652,107.7896,57.78,33,0,13.98,CN,1650419158
153,Sumbe,-11.2061,13.8437,77.41,93,100,6.26,AO,1650419159
154,Mareeba,-17.0,145.4333,83.44,72,70,6.91,AU,1650419159
155,Belozërskoye,55.8214,65.5842,36.99,86,97,2.55,RU,1650419160
156,Iquitos,-3.7481,-73.2472,75.24,94,20,2.3,PE,1650419160
157,Monterey,36.2505,-121.2516,59.18,49,65,11.54,US,1650419160
158,Manicoré,-5.8092,-61.3003,73.69,98,100,2.08,BR,1650419161
159,Nanortalik,60.1432,-45.2371,24.22,56,0,27.58,GL,1650419161
160,Kulhudhuffushi,6.6221,73.07,84.22,73,86,9.44,MV,1650419161
161,Bareilly,28.35,79.4167,87.39,19,3,3.94,IN,1650419161
162,Monteagudo,-19.8167,-63.9833,58.64,94,1,2.48,BO,1650419162
163,Dikson,73.5069,80.5464,9.45,91,100,3.4,RU,1650419162
164,Biak,-0.9131,122.8766,83.88,67,93,1.81,ID,1650419163
165,Airai,-8.9266,125.4092,74.59,47,81,2.21,TL,1650419163
166,Natagaima,3.6206,-75.0941,71.38,98,100,3.04,CO,1650419163
167,Oriximiná,-1.7656,-55.8661,75.85,94,76,1.45,BR,1650419164
168,Ahualulco del Sonido Trece,22.4,-101.1667,69.62,58,2,19.13,MX,1650419164
169,Sawākin,19.1059,37.3321,80.98,84,21,9.51,SD,1650419165
170,Santiago,-33.4569,-70.6483,63.28,59,75,6.91,CL,1650419024
171,Hong Kong,22.2855,114.1577,70.25,86,100,4.0,HK,1650419162
172,Katsuura,35.1333,140.3,53.62,90,100,9.73,JP,1650419165
173,Wollongong,-34.4333,150.8833,75.25,57,0,4.05,AU,1650419100
174,Storforshei,66.4043,14.5233,35.65,93,69,0.0,NO,1650419165
175,Fuerte Olimpo,-21.0415,-57.8738,72.5,54,0,4.29,PY,1650419166
176,Cap Malheureux,-19.9842,57.6142,78.48,88,15,5.01,MU,1650419166
177,High Level,58.5169,-117.136,32.11,37,40,8.05,CA,1650419166
178,Acapulco de Juárez,16.8634,-99.8901,82.22,69,40,8.05,MX,1650418992
179,Kailua,21.4022,-157.7394,78.78,69,100,18.41,US,1650419167
180,Tungor,53.3808,142.9564,40.05,89,100,1.12,RU,1650419167
181,Kaitangata,-46.2817,169.8464,65.55,53,100,4.36,NZ,1650419168
182,Alice Springs,-23.7,133.8833,69.22,32,3,10.36,AU,1650418887
183,Rossano,39.5751,16.6349,46.13,52,31,7.52,IT,1650419168
184,Assiut,27.181,31.1837,64.58,53,6,14.32,EG,1650419168
185,Ahipara,-35.1667,173.1667,73.08,74,13,12.08,NZ,1650419169
186,Mollendo,-17.0231,-72.0147,66.4,83,92,5.32,PE,1650419169
187,Pevek,69.7008,170.3133,25.79,81,35,3.33,RU,1650418917
188,Fairbanks,64.8378,-147.7164,46.24,27,0,10.36,US,1650419102
189,Havøysund,70.9963,24.6622,35.83,87,37,7.43,NO,1650419170
190,Misratah,32.3754,15.0925,60.06,70,50,14.63,LY,1650419170
191,Benghazi,32.1167,20.0667,58.28,67,0,3.2,LY,1650419170
192,Aguada de Pasajeros,22.385,-80.8508,76.14,72,0,11.34,CU,1650419171
193,Eucaliptus,-17.5833,-67.5167,47.77,67,16,0.92,BO,1650419171
194,Serdobsk,52.4586,44.2169,54.1,74,100,7.02,RU,1650419171
195,Ostrovnoy,68.0531,39.5131,30.6,75,100,7.76,RU,1650419172
196,Kasongo-Lunda,-6.4667,16.8167,69.93,98,100,1.14,CD,1650419172
197,Mińsk Mazowiecki,52.1794,21.5725,44.38,81,100,7.61,PL,1650419172
198,Aksarka,66.5606,67.7975,23.5,89,61,8.9,RU,1650419173
199,Lafia,8.4833,8.5167,78.28,76,100,3.18,NG,1650419173
200,Henties Bay,-22.116,14.2845,71.08,58,22,1.95,NA,1650419173
201,Ashland,40.8167,-82.2665,39.74,68,24,11.32,US,1650419041
202,Sur,22.5667,59.5289,79.65,65,0,8.75,OM,1650419174
203,Bom Jesus,-9.0744,-44.3586,75.76,80,80,2.95,BR,1650419174
204,Sancti Spíritus,21.9297,-79.4425,74.43,78,0,11.1,CU,1650419175
205,New Norfolk,-42.7826,147.0587,62.71,50,80,8.01,AU,1650419175
